energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,constant,2024-05,3,2024-08,126.9,127.6,0.7,0.7,0.5516,0.5501,"{""last_value"": 127.6}"
electricity,deterministic_trend,2024-05,3,2024-08,126.9,128.5464,1.6464,1.6464,1.2974,1.2891,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.6}"
electricity,ets,2024-05,3,2024-08,126.9,123.934,-2.966,2.966,-2.3373,2.3649,"{""selected_config"": ""Ad,A"", ""aic"": 106.544, ""n_failures"": 0}"
electricity,sarima,2024-05,3,2024-08,126.9,124.9714,-1.9286,1.9286,-1.5198,1.5314,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 185.9904, ""n_failures"": 0}"
electricity,constant,2024-05,6,2024-11,126.4,127.6,1.2,1.2,0.9494,0.9449,"{""last_value"": 127.6}"
electricity,deterministic_trend,2024-05,6,2024-11,126.4,129.4999,3.0999,3.0999,2.4524,2.4227,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.6}"
electricity,ets,2024-05,6,2024-11,126.4,124.1664,-2.2336,2.2336,-1.7671,1.7828,"{""selected_config"": ""Ad,A"", ""aic"": 106.544, ""n_failures"": 0}"
electricity,sarima,2024-05,6,2024-11,126.4,130.3734,3.9734,3.9734,3.1435,3.0949,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 185.9904, ""n_failures"": 0}"
electricity,constant,2024-05,12,2025-05,124.6,127.6,3.0,3.0,2.4077,2.3791,"{""last_value"": 127.6}"
electricity,deterministic_trend,2024-05,12,2025-05,124.6,131.428,6.828,6.828,5.4799,5.3338,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.6}"
electricity,ets,2024-05,12,2025-05,124.6,126.8585,2.2585,2.2585,1.8126,1.7963,"{""selected_config"": ""Ad,A"", ""aic"": 106.544, ""n_failures"": 0}"
electricity,sarima,2024-05,12,2025-05,124.6,141.2328,16.6328,16.6328,13.3489,12.5137,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 185.9904, ""n_failures"": 0}"
electricity,constant,2024-06,1,2024-07,127.2,127.7,0.5,0.5,0.3931,0.3923,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-06,1,2024-07,127.2,128.0149,0.8149,0.8149,0.6407,0.6386,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-06,1,2024-07,127.2,125.198,-2.002,2.002,-1.5739,1.5864,"{""selected_config"": ""Ad,A"", ""aic"": 106.8539, ""n_failures"": 0}"
electricity,sarima,2024-06,1,2024-07,127.2,124.3458,-2.8542,2.8542,-2.2439,2.2693,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 189.46, ""n_failures"": 0}"
electricity,constant,2024-06,3,2024-09,126.7,127.7,1.0,1.0,0.7893,0.7862,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-06,3,2024-09,126.7,128.6472,1.9472,1.9472,1.5368,1.5251,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-06,3,2024-09,126.7,125.725,-0.975,0.975,-0.7695,0.7725,"{""selected_config"": ""Ad,A"", ""aic"": 106.8539, ""n_failures"": 0}"
electricity,sarima,2024-06,3,2024-09,126.7,126.8035,0.1035,0.1035,0.0817,0.0817,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 189.46, ""n_failures"": 0}"
electricity,constant,2024-06,6,2024-12,126.6,127.7,1.1,1.1,0.8689,0.8651,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-06,6,2024-12,126.6,129.6013,3.0013,3.0013,2.3707,2.343,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-06,6,2024-12,126.6,125.3443,-1.2557,1.2557,-0.9919,0.9968,"{""selected_config"": ""Ad,A"", ""aic"": 106.8539, ""n_failures"": 0}"
electricity,sarima,2024-06,6,2024-12,126.6,130.8892,4.2892,4.2892,3.388,3.3316,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 189.46, ""n_failures"": 0}"
electricity,constant,2024-06,12,2025-06,124.6,127.7,3.1,3.1,2.488,2.4574,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-06,12,2025-06,124.6,131.531,6.931,6.931,5.5626,5.4121,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-06,12,2025-06,124.6,128.2472,3.6472,3.6472,2.9271,2.8849,"{""selected_config"": ""Ad,A"", ""aic"": 106.8539, ""n_failures"": 0}"
electricity,sarima,2024-06,12,2025-06,124.6,141.0728,16.4728,16.4728,13.2205,12.4008,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 189.46, ""n_failures"": 0}"
electricity,constant,2024-07,1,2024-08,126.9,127.2,0.3,0.3,0.2364,0.2361,"{""last_value"": 127.2}"
electricity,deterministic_trend,2024-07,1,2024-08,126.9,127.5137,0.6137,0.6137,0.4836,0.4825,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.2}"
electricity,ets,2024-07,1,2024-08,126.9,127.9039,1.0039,1.0039,0.7911,0.788,"{""selected_config"": ""Ad,A"", ""aic"": 108.0722, ""n_failures"": 0}"
electricity,sarima,2024-07,1,2024-08,126.9,128.2302,1.3302,1.3302,1.0482,1.0428,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12], ""label"": ""(0,1,1)x(0,1,1)[12]"", ""aic"": 194.2051, ""n_failures"": 0}"
electricity,constant,2024-07,3,2024-10,126.5,127.2,0.7,0.7,0.5534,0.5518,"{""last_value"": 127.2}"
